,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
0,1,0,1000.0,700,0.0,1500.0,1500.0,512.0,1,0,1,17.07
1,2,0,300.0,0,0.0,2800.0,0.0,0.0,0,0,0,0.0
2,2,0,11450.0,600,0.0,4000.0,0.0,1187.0,1,0,1,29.68
3,4,0,30000.0,700,442.0,2300.0,0.0,293.0,1,1,1,12.74
4,1,0,7500.0,0,0.0,1650.0,250.0,0.0,0,0,0,0.0
5,4,0,7500.0,600,300.0,2080.0,0.0,0.0,0,1,1,0.0
6,2,0,2000.0,700,1211.0,3683.333,0.0,1089.0,1,1,1,29.57
7,1,0,10000.0,0,2400.0,4227.6,0.0,549.0,1,1,0,12.99
8,3,0,16000.0,700,1050.0,5085.167,0.0,1612.52,1,1,1,31.71
9,3,0,5000.0,0,750.0,1309.167,0.0,0.0,0,1,0,0.0
10,3,0,21000.0,600,300.0,6903.0,0.0,300.0,1,1,1,4.35
11,1,0,375000.0,800,850.0,3616.167,0.0,441.0,1,1,1,12.2
12,1,0,3000.0,600,1450.0,3640.0,0.0,20.0,1,1,1,0.55
13,1,0,3500.0,0,450.0,0.0,0.0,0.0,0,1,0,100.0
14,3,0,38786.0,600,0.0,4500.0,0.0,0.0,0,0,1,0.0
15,1,0,4000.0,600,500.0,3000.0,0.0,0.0,0,1,1,0.0
16,1,0,1500.0,600,400.0,975.0,0.0,0.0,0,1,1,0.0
17,1,0,10000.0,0,2500.0,750.0,0.0,0.0,0,1,0,0.0
18,3,0,20000.0,600,350.0,3500.0,0.0,1110.0,1,1,1,31.71
19,1,0,1500.0,600,350.0,2736.5,0.0,299.0,1,1,1,10.93
20,3,0,8000.0,600,1500.0,8000.0,0.0,0.0,0,1,1,0.0
21,1,0,500.0,0,300.0,3000.0,0.0,0.0,0,1,0,0.0
22,3,0,10000.0,700,300.0,4000.0,0.0,35.0,1,1,1,0.88
23,1,0,2000.0,600,0.0,3500.0,0.0,471.0,1,0,1,13.46
24,2,0,1000.0,0,0.0,1159.0,0.0,0.0,0,0,0,0.0
25,3,0,15000.0,0,900.0,4566.667,0.0,0.0,0,1,0,0.0
26,4,0,7650.0,0,300.0,5793.667,0.0,75.0,1,1,0,1.29
27,2,0,5000.0,700,500.0,3200.0,0.0,821.0,1,1,1,25.66
28,1,0,3000.0,600,0.0,1733.333,0.0,386.0,1,0,1,22.27
29,1,0,200.0,0,639.0,1286.0,0.0,0.0,0,1,0,0.0
30,1,0,5000.0,700,1450.0,2600.0,0.0,86.0,1,1,1,3.31
31,1,0,1000.0,0,906.0,0.0,0.0,0.0,0,1,0,100.0
32,2,0,500.0,600,0.0,1638.0,0.0,25.0,1,0,1,1.53
33,3,0,25000.0,700,0.0,837.0,0.0,65.0,1,0,1,7.77
34,3,0,10000.0,500,0.0,1529.167,0.0,1496.0,1,0,1,97.83
35,1,0,20000.0,600,1450.0,0.0,0.0,318.0,1,1,1,100.0
36,1,0,500.0,600,0.0,4333.333,0.0,0.0,0,0,1,0.0
37,1,0,2000.0,500,924.0,2600.0,0.0,1374.34,1,1,1,52.86
38,3,0,2600.0,600,500.0,2600.0,0.0,150.0,1,1,1,5.77
39,3,0,9656.0,0,1000.0,3600.0,0.0,0.0,0,1,0,0.0
40,3,0,19450.0,700,472.0,2600.0,0.0,389.96,1,1,1,15.0
41,1,0,6000.0,0,250.0,0.0,0.0,0.0,0,1,0,100.0
42,1,0,500.0,600,1000.0,0.0,0.0,85.0,1,1,1,100.0
43,3,0,10800.0,600,400.0,1473.333,0.0,0.0,0,1,1,0.0
44,4,0,170000.0,700,0.0,4000.0,0.0,687.0,1,0,1,17.18
45,3,0,20000.0,0,0.0,5000.0,0.0,0.0,0,0,0,0.0
46,1,0,15000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
47,4,0,157250.0,700,0.0,3657.37,0.0,3095.0,1,0,1,84.62
48,3,0,16300.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
50,2,0,500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
51,3,0,5000.0,0,0.0,2250.0,0.0,0.0,0,0,0,0.0
52,3,0,2000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
53,1,0,20000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
54,2,0,5000.0,700,0.0,2600.0,2600.0,1112.0,1,0,1,21.38
55,3,0,10000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
56,4,0,2500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
57,1,0,200.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
58,4,0,20000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
59,1,0,1000.0,500,750.0,3250.0,0.0,117.0,1,1,1,3.6
60,1,0,4500.0,600,1045.0,7916.667,0.0,2214.0,1,1,1,27.97
61,1,0,10000.0,700,300.0,2036.667,0.0,1060.01,1,1,1,52.05
62,1,0,800.0,500,500.0,1800.0,0.0,100.0,1,1,1,5.56
63,1,0,2505.0,600,600.0,1282.667,0.0,166.0,1,1,1,12.94
64,3,0,25000.0,600,0.0,3605.333,0.0,0.0,0,0,1,0.0
65,1,0,4000.0,800,0.0,2997.0,2997.0,1100.0,1,0,1,18.35
66,1,0,500.0,600,1375.0,3640.0,0.0,663.0,1,1,1,18.21
67,1,0,56000.0,500,950.0,2708.333,0.0,166.01,1,1,1,6.13
68,1,0,3000.0,700,1500.0,2670.0,330.0,0.0,0,1,1,0.0
69,4,0,15000.0,700,0.0,8016.667,0.0,0.0,0,0,1,0.0
71,1,0,2500.0,600,412.0,3225.0,0.0,792.0,1,1,1,24.56
